Complete Secondary School List | Property Review SG

| Secondary School | Chinese Name | Nature | Sch Type | PSLE 2020 (Aff.)Integ. | PSLE 2020 (Aff.)Exp. | PSLE 2020 (Aff.)N(Acad) | PSLE 2020 (Aff.)N(Tech) | PSLE 2020 (Non-Aff.)Integ. | PSLE 2020 (Non-Aff.)Exp. | PSLE 2020 (Non-Aff.)N(Acad) | PSLE 2020 (Non-Aff.)N(Tech) | IntegratedProgramme | Address |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Admiralty Secondary School | 美雅中学 | Co-Ed | Gov Sch | 31 Woodlands Crescent, S737916 |
| Ahmad Ibrahim Secondary School | 伊布拉欣中学 | Co-Ed | Gov Sch | 751 Yishun Avenue 7, S768928 |
| Anderson Secondary School | 安德逊中学 | Co-Ed | Gov Sch/ Auto. | 10 Ang Mo Kio Street 53, S569206 |
| Ang Mo Kio Secondary School | 茂乔中学 | Co-Ed | Gov Sch | 6 Ang Mo Kio Street 22, S569362 |
| Anglican High School | 圣公会中学 | Co-Ed | Gov-Aided Sch/ Auto. | 600 Upper Changi Road, S487012 |
| Anglo-Chinese School (Barker Road) | 英华学校（巴克路） | Boys | Gov-Aided Sch | 60 Barker Road, S309919 |
| Anglo-Chinese School (Independent) (Secondary) | 英华中学（自主） | Co-Ed | Independent Sch | 121 Dover Road, S139650 |
| Assumption English School | 圣升英校 | Co-Ed | Gov-Aided Sch | 622 Upper Bukit Timah Road, S678117 |
| Assumption Pathway School | 圣升明径学校 | Co-Ed | Spec. Sch | 30 Cashew Road, S679697 |
| Bartley Secondary School | 巴特礼中学 | Co-Ed | Gov Sch | 10 Jalan Bunga Rampai, S538403 |
| Beatty Secondary School | 培德中学 | Co-Ed | Gov Sch | 1 Toa Payoh North, S318990 |
| Bedok Green Secondary School | 育青中学 | Co-Ed | Gov Sch | 360 Bedok North Ave 3, S469722 |
| Bedok South Secondary School | 尚义中学 | Co-Ed | Gov Sch | 1 Jalan Langgar Bedok, S468585 |
| Bedok View Secondary School | 务德中学 | Co-Ed | Gov Sch | 6 Bedok South Avenue 3, S469293 |
| Bendemeer Secondary School | 明智中学 | Co-Ed | Gov Sch | 1 St Wilfred Road, S327919 |
| Boon Lay Secondary School | 文礼中学 | Co-Ed | Gov Sch | 11 Jurong West Street 65, S648354 |
| Bowen Secondary School | 博文中学 | Co-Ed | Gov Sch | 2 Lorong Napiri, S547529 |
| Broadrick Secondary School | 务立中学 | Co-Ed | Gov Sch | 61 Dakota Crescent, S399935 |
| Bukit Batok Secondary School | 武吉巴督中学 | Co-Ed | Gov Sch | 50 Bukit Batok West Ave 8, S658962 |
| Bukit Merah Secondary School | 红山中学 | Co-Ed | Gov Sch | 10 Lengkok Bahru, S159050 |
| Bukit Panjang Govt. High School | 武吉班让政府中学 | Co-Ed | Gov Sch/ Auto. | 7 Choa Chu Kang Ave 4, S689809 |
| Bukit View Secondary School | 百德中学 | Co-Ed | Gov Sch | 16 Bukit Batok Street 21, S659633 |
| Canberra Secondary School | 康培中学 | Co-Ed | Gov Sch | 51 Sembawang Drive, S757699 |
| Catholic High School (Secondary) | 公教中学 | Boys | Gov-Aided Sch/ Auto. | 9 Bishan Street 22, S579767 |
| Cedar Girls' Secondary School | 四德女子中学 | Girls | Gov Sch / Auto. | 1 Cedar Avenue, S349692 |
| Changkat Changi Secondary School | 尚育中学 | Co-Ed | Gov Sch | 23 Simei St 3, S529894 |
| CHIJ Katong Convent | 加东修道院女校 | Girls | Gov-Aided Sch/ Auto. | 346 Marine Terrace, S449150 |
| CHIJ Secondary (Toa Payoh) | 圣婴女子中学（大巴窑） | Girls | Gov-Aided Sch/ Auto. | 626 Lorong 1 Toa Payoh, S319764 |
| CHIJ St. Joseph's Convent | 圣婴女子中学（圣若瑟） | Girls | Gov-Aided Sch | 62 Sengkang East Way, S548595 |
| CHIJ St. Nicholas Girls' School (Secondary) | 圣尼各拉女校 | Girls | Gov-Aided Sch/ Auto. | 501 Ang Mo Kio Street 13, S569405 |
| CHIJ St. Theresa's Convent | 圣婴德兰女校 | Girls | Gov-Aided Sch | 160 Lower Delta Road, S099138 |
| Christ Church Secondary School | 基督堂中学 | Co-Ed | Gov-Aided Sch | 20 Woodlands Drive 17, S737924 |
| Chua Chu Kang Secondary School | 蔡厝港中学 | Co-Ed | Gov Sch | 3 Teck Whye Crescent, S688845 |
| Chung Cheng High School (Main) | 中正中学（总校） | Co-Ed | Gov-Aided Sch/ Auto. | 50 Goodman Road, S439012 |
| Chung Cheng High School (Yishun) | 中正中学 (义顺） | Co-Ed | Gov-Aided Sch | 11 Yishun Street 61, S768547 |
| Clementi Town Secondary School | 锦文中学 | Co-Ed | Gov Sch | 10 Clementi Ave 3, S129904 |
| Commonwealth Secondary School | 立才中学 | Co-Ed | Gov Sch / Auto. | 698 West Coast Road, S608784 |
| Compassvale Secondary School | 康柏中学 | Co-Ed | Gov Sch | 51 Compassvale Crescent, S545083 |
| Crescent Girls' School | 克信女子中学 | Girls | Gov Sch / Auto. | 357 Tanglin Road, S247961 |
| Crest Secondary School | 裕峰中学 | Co-Ed | Spec. Sch | 561 Jurong East Street 24, S609561 |
| Damai Secondary School | 达迈中学 | Co-Ed | Gov Sch | 4800 Bedok Reservoir Road, S479229 |
| Deyi Secondary School | 德义中学 | Co-Ed | Gov Sch | 1 Ang Mo Kio Street 42, S569277 |
| Dunearn Secondary School | 德能中学 | Co-Ed | Gov Sch | 21 Bukit Batok West Avenue 2, S659204 |
| Dunman High School (Secondary) | 德明政府中学 | Co-Ed | Gov Sch / Auto. | 10 Tanjong Rhu Road, S436895 |
| Dunman Secondary School | 德明中学 | Co-Ed | Gov Sch / Auto. | 21 Tampines Street 45, S529093 |
| East Spring Secondary School | 东源中学 | Co-Ed | Gov Sch | 30 Tampines Street 34, S529231 |
| Edgefield Secondary School | 育德中学 | Co-Ed | Gov Sch | 36 Punggol Field, S828814 |
| Evergreen Secondary School | 永青中学 | Co-Ed | Gov Sch | 11 Woodlands Street 83, S738489 |
